name,callsign,stationid,url
Showtime Extreme,SHOWXHD,60947,
Showtime Family Zone,FAMZHD,103892,
Showtime Next,NEXTHD,68342,
ShowTime Showcase,SHOCSHD,61001,
Showtime West,PASHOHW,22532,
Showtime Women,WOMENHD,68338,
ShoxBET,SHOBETH,68340,
Smithsonian Channel,SMTHHD,58532,
Sports Grid,SPOGRID,112732,
Stadium,STADIUM,104950,
Start TV,STARTTV,109454,
Starz Cinema,STRZCIH,67236,
Starz Comedy,STZCHD,57569,
Starz Comedy West,STZCHP,57575,
STARZ East,STZHD,34941,
Starz Edge,STZEHD,57573,
Starz Edge West,STZEHP,57578,
Starz in Black,STRZIBH,67235,
Starz in Black West,STZIBHP,67367,
Starz Kids & Family,STZKHD,57581,
STARZ West,STZHDP,34949,
STARZEncore Action,SZEAHD,72015,
STARZEncore Black,STZENBK,14870,
STARZEncore Classic,STZENCL,14764,
STARZEncore East,STZENHD,36225,
STARZEncore Espanol,STZESP,72016,
STARZEncore Family,STZENFS,102903,
STARZEncore Suspense,STZENSU,14766,
STARZEncore West,STZENCP,17125,
STARZEncore Westerns,STZEWSS,102906,
Stories by AMC,AMCPRES,115539,
SundanceTV,SUNDHD,71280,
Syfy,SYFYHD,58623,
T2,T2,137752,
Tastemade,TASTE,107076,
Tastmade en Espanol,,,
TBD TV,TBDP,102117,
TBS,TBSHD,58515,
TBS (Pacific),TBSHDP,67890,
Teen Nick,TNCK,59036,
Telehit,,,
Telehit Musica,,,
Telemundo Denver,KDENDT,54424,
Tennis Channel,TENISHD,60316,
The Filipino Channel (Pacific),,,
The Walking Dead Channel,TWDC,115945,
The Walking Dead Universe,TWDU,115540,
The Weather Channel,WEATHHD,58812,
ThrillerMax East,THMAXHD,59954,
ThrillerMax West,THMXHDP,59959,
TLC,TLCHD,57391,
TLNovelas,,,
TNT,TNTHD,42642,
TNT (Pacific),TNTHDP,61340,
Tr3s,,,
Travel Channel,TRAVHD,59303,
truTV,TRUTVHD,64490,
TUDN,TUDN,75176,
Turner Classic Movies,TCMHD,64312,
TVLand,TVLAND,16123,
TYC Sports,TYCHD,90677,
TYT Network,PTVTYT,114639,
Universo,,,
USA,USAHD,58452,
VH1,VH1HD,60046,
Vix Premium Deportes 1,VD1,123583,
Vix Premium Deportes 2,VD2,123584,
Vix Premium Deportes 3,VD3,123585,
Vix Premium Deportes 4,VD4,123716,
Vix Premium Deportes 5,VD5,123717,
Vix Premium Deportes 6,VD6,123718,
Vix Premium Deportes 7,VD7,123719,
Vix Premium Deportes 8,VD8,123720,
VSIN,VSIN,108970,
WAPA America,,,
WeTV,WEHD,59296,
Willow,WLLOHD,80621,
Willow2,WIL2HD,100316,
World at War,WRLDWAR,165997,
YouTube TV Zen,ZENS,171005,
Zee Anmol,,,
Zee Bangla,,,
Zee Bollywood,,,
Zee Channel &TV,,,
Zee Cinema,,,
Zee Cinemalu,,,
Zee Classic,,,
Zee Kannada,,,
Zee Keralam,,,
Zee Marathi,,,
Zee Punjabi,,,
Zee Talkies,,,
Zee Telugu,,,
Zee TV USA,,,
Zee World,,,
Zing USA,,,
